Spanish,English
de,from
la,the
que,that
el,the
en,in
hola,hello / hi
a,to
los,the
se,I know
del,of
las,the
un,a
por,for
con,with
no,no
una,a
su,his
para,for
es,is
al,to the
lo,it
como,What
más,plus
o,or
pero,but
sus,their
le,you
ha,he has
me,I
si,Yes
sin,without
sobre,about
este,this
ya,already
entre,Come in
cuando,when
todo,everything
esta,is
ser ,to be
son,are
dos,two
también,too
fue,it was
había,there was
era,it was
muy,very
años,years
hasta,until
desde,from
está,this